#Raw Data for average accuracy
A1	 0.663167	 0.138819	 6	 0.650167	 0.074751	 12




#Raw Data for average auc
A46	 0.746286	 0.036730	 7	 0.705500	 0.097538	 42
A40	 0.699429	 0.067267	 7	 0.679273	 0.068436	 11
A39	 0.779091	 0.026269	 22	 0.685773	 0.067829	 220
A16	 0.715236	 0.112680	 72	 0.674903	 0.074825	 72




#Raw Data for average balance
A40	 0.639706	 0.041878	 7	 0.559929	 0.082680	 11
A7	 0.602233	 0.139501	 12	 0.547259	 0.127841	 12
A41	 0.703883	 0.043642	 10	 0.643174	 0.138937	 166




#Raw Data for average f-measure
A41	 0.494000	 0.104326	 10	 0.487528	 0.197147	 178
A2	 0.697104	 0.130539	 6	 0.625853	 0.051014	 4
A39	 0.443182	 0.169555	 22	 0.318864	 0.155929	 220
A24	 0.458750	 0.145382	 8	 0.369176	 0.182901	 182
A1	 0.366833	 0.175483	 6	 0.388083	 0.169913	 12
A40	 0.451714	 0.133292	 7	 0.435727	 0.137597	 11
A15	 0.605744	 0.237859	 5	 0.319587	 0.165190	 4
A7	 0.527667	 0.234229	 12	 0.463250	 0.216758	 12




#Raw Data for average g-mean1
A41	 0.522652	 0.086391	 10	 0.492675	 0.186872	 166
A39	 0.473611	 0.143392	 22	 0.354544	 0.141168	 220
A1	 0.418476	 0.150389	 6	 0.452771	 0.144037	 12
A40	 0.480695	 0.122283	 7	 0.483983	 0.103830	 11
A15	 0.625146	 0.220392	 5	 0.401978	 0.121092	 4
A7	 0.536746	 0.219093	 12	 0.476897	 0.219889	 12
A2	 0.705002	 0.123391	 6	 0.640798	 0.040778	 4




#Raw Data for average g-mean2
A40	 0.645000	 0.041463	 7	 0.563347	 0.092297	 11
A7	 0.565817	 0.229060	 12	 0.509899	 0.233889	 12
A41	 0.708153	 0.045053	 10	 0.655222	 0.148989	 166




#Raw Data for average g-measure
A18	 0.464278	 0.186811	 90	 0.540707	 0.134925	 75
A40	 0.612714	 0.072005	 7	 0.527545	 0.125890	 11
A7	 0.554989	 0.243677	 12	 0.489325	 0.229161	 12
A41	 0.705324	 0.045161	 10	 0.629651	 0.173779	 166




#Raw Data for average mcc
A41	 0.505000	 0.075000	 2	 0.463125	 0.248589	 16
A18	 0.238156	 0.135866	 90	 0.194093	 0.132404	 75
A40	 0.254714	 0.085476	 7	 0.181818	 0.108299	 11




#Raw Data for average pf
A40	 0.332143	 0.080928	 7	 0.512909	 0.171213	 11
A7	 0.231750	 0.116758	 12	 0.189167	 0.151986	 12
A41	 0.289000	 0.083958	 10	 0.193795	 0.152866	 166




#Raw Data for average precision
A41	 0.398315	 0.140774	 10	 0.461913	 0.235644	 166
A39	 0.535909	 0.165493	 22	 0.438045	 0.194839	 220
A1	 0.585333	 0.304273	 6	 0.545000	 0.202069	 12
A40	 0.379571	 0.159081	 7	 0.364000	 0.156919	 11
A15	 0.780000	 0.163340	 5	 0.767500	 0.277793	 4
A7	 0.623167	 0.221654	 12	 0.562083	 0.275272	 12
A2	 0.691833	 0.191034	 6	 0.740250	 0.117236	 4




#Raw Data for average recall
A2	 0.735000	 0.104016	 6	 0.573000	 0.122403	 4
A39	 0.485909	 0.225140	 22	 0.394682	 0.247130	 220
A1	 0.403667	 0.190129	 6	 0.435167	 0.191437	 12
A40	 0.635571	 0.115994	 7	 0.714364	 0.164374	 11
A15	 0.516000	 0.235253	 5	 0.327500	 0.272615	 4
A7	 0.517167	 0.234284	 12	 0.421000	 0.220251	 12
A41	 0.711000	 0.071337	 10	 0.567590	 0.212966	 166




#Raw Data for median accuracy
A1	 0.663167	 0.138819	 6	 0.659833	 0.103532	 6




#Raw Data for median auc
A39	 0.779091	 0.026269	 22	 0.685773	 0.067829	 220
A46	 0.746286	 0.036730	 7	 0.705500	 0.097538	 42
A16	 0.715236	 0.112680	 72	 0.674903	 0.074825	 72
A37	 0.685522	 0.086369	 23	 0.683667	 0.099753	 66




#Raw Data for median balance
A13	 0.636957	 0.132441	 92	 0.666739	 0.143490	 92
A27	 0.639491	 0.091138	 10	 0.620495	 0.051719	 20
A7	 0.602233	 0.139501	 12	 0.547259	 0.127841	 12
A20	 0.701800	 0.073104	 10	 0.619400	 0.127553	 20
A43	 0.640429	 0.071626	 7	 0.606929	 0.089674	 28




#Raw Data for median f-measure
A39	 0.443182	 0.169555	 22	 0.318864	 0.155929	 220
A1	 0.366833	 0.175483	 6	 0.462500	 0.203958	 6
A15	 0.605744	 0.237859	 5	 0.319587	 0.165190	 4
A3	 0.280940	 0.092538	 84	 0.517619	 0.033031	 42
A24	 0.458750	 0.145382	 8	 0.369176	 0.182901	 182
A7	 0.527667	 0.234229	 12	 0.463250	 0.216758	 12
A2	 0.697104	 0.130539	 6	 0.625853	 0.051014	 4
A11	 0.609978	 0.273554	 40	 0.496773	 0.278882	 150




#Raw Data for median g-mean1
A1	 0.418476	 0.150389	 6	 0.492553	 0.182165	 6
A15	 0.625146	 0.220392	 5	 0.401978	 0.121092	 4
A3	 0.399295	 0.087538	 84	 0.542247	 0.037033	 42
A39	 0.473611	 0.143392	 22	 0.354544	 0.141168	 220
A7	 0.536746	 0.219093	 12	 0.476897	 0.219889	 12
A2	 0.705002	 0.123391	 6	 0.640798	 0.040778	 4
A11	 0.622968	 0.260314	 40	 0.543156	 0.250078	 150




#Raw Data for median g-mean2
A13	 0.656939	 0.173483	 92	 0.704001	 0.149661	 92
A27	 0.659474	 0.082424	 10	 0.625683	 0.050692	 20
A7	 0.565817	 0.229060	 12	 0.509899	 0.233889	 12
A20	 0.715953	 0.072878	 10	 0.629167	 0.147763	 20
A43	 0.651295	 0.070977	 7	 0.627179	 0.072877	 28




#Raw Data for median g-measure
A13	 0.642151	 0.182150	 92	 0.691054	 0.161043	 92
A27	 0.629800	 0.107401	 10	 0.606100	 0.057952	 20
A7	 0.554989	 0.243677	 12	 0.489325	 0.229161	 12
A20	 0.705538	 0.080721	 10	 0.593713	 0.185202	 20
A43	 0.636851	 0.083382	 7	 0.608864	 0.092500	 28




#Raw Data for median pf
A13	 0.298913	 0.171910	 92	 0.249783	 0.140333	 92
A27	 0.136500	 0.061071	 10	 0.320300	 0.089571	 20
A7	 0.231750	 0.116758	 12	 0.189167	 0.151986	 12
A20	 0.277000	 0.098189	 10	 0.479000	 0.221786	 20
A43	 0.437286	 0.123105	 7	 0.398929	 0.155346	 28




#Raw Data for median precision
A1	 0.585333	 0.304273	 6	 0.517333	 0.273915	 6
A15	 0.780000	 0.163340	 5	 0.767500	 0.277793	 4
A3	 0.531524	 0.112030	 84	 0.475286	 0.033362	 42
A39	 0.535909	 0.165493	 22	 0.438045	 0.194839	 220
A7	 0.623167	 0.221654	 12	 0.562083	 0.275272	 12
A2	 0.691833	 0.191034	 6	 0.740250	 0.117236	 4
A11	 0.680500	 0.201183	 40	 0.447067	 0.322361	 150




#Raw Data for median recall
A13	 0.673370	 0.227148	 92	 0.697174	 0.216977	 92
A3	 0.319393	 0.132002	 84	 0.619881	 0.055670	 42
A2	 0.735000	 0.104016	 6	 0.573000	 0.122403	 4
A39	 0.485909	 0.225140	 22	 0.394682	 0.247130	 220
A15	 0.516000	 0.235253	 5	 0.327500	 0.272615	 4
A20	 0.731000	 0.172884	 10	 0.838500	 0.132336	 20
